"Publishers","Editoras"
"Status","Status"
"Publisher Name","Nome da Editora"
"Publisher deleted successfully","Editora excluída com sucesso"
"Publisher not found","Editora não encontrada"
"This publisher no longer exists","A editora não existe na base de dados"
"Edit Publisher","Editar Editora"
"Add New Publisher","Criar Nova Editora"
"Publisher saved successfully","Editora salva com sucesso"
"Error saving publisher: ","Erro ao salvar editora: "
"Error uploading image: ","Erro ao fazer upload de imagem: "
